Dealer Code,Name,Target 202404,Sale upto 15.04.2024
9121006579,DIVYA SALES CORPORATION,143,8
9121006583,DEEPCHAND CHAMPALAL KUMAWAT,167,113
9121006596,DHANLAXMI TRADERS,70,27
9121006598,DEGAM GROUP SEVA SAHAKARI-,120,20.5
9121006599,DHARTI ENTERPRISE,25,5
9121006600,DHANANJAY TRADERS,30,10
9121006601,DARBAR CEMENT AGENCY,101,52
9121006607,DILIP PRAFUL & CO.,60,48.5
9121006610,DHANLAXMI BUILDING MATERIALSUPPLIER,101,31
9121006611,DHRUVI CENTRING & TRADRERS,47,32.5
9121006612,DOSHI RIKINKUMAR RAMESHBHAI,140,88
9121006614,DHARATI TRADERS,83,26
9121006617,EVAN TRADERS,102,35
9121006621,GOVINDLAL K. THAKKAR,70,15
9121006622,GUJARAT AUTOMOBILES,100,15
9121006624,GANDEVI TALUKA KHEDUT SAHKARI,580,78
9121006625,GURU DATTATREY TRADERS,170,107
9121006633,GARRISON POLYSACKS PVT LTD,9,5.1
9121006635,GAYATRI MARBLE & KOTAH STONES,45,10
9121006637,GODHARA HARDWARE STORES,550,191.5
9121006643,GEETA TRADERS,175,51
9121006647,GAYATRI CEMENT DEPOT,405,140.75
9121006650,GANESH TRADING CO.,80,30.5
9121006658,GAYU TRADERS,141,8
9121006659,GUJARAT MARBLE & STONE CO.,94,12.5
9121006660,GODAVARI TRADERS,67,6
9121006664,GAYATRI TRADERS,287,78
9121006669,GAJANAND CEMENT DEPOT,43,15
9121006670,G. P.CEMENT CENTRE,164,42
9121006674,GULF STEEL,379,86
9121006682,GANDHI CEMENT AGENCY,213,23
9121006685,GOPAL TRADERS,284,80.75
9121006688,GHANSHYAM TRADERS,226,40
9121006697,MAHALAXMI TRADERS,150,5
9121006710,MAHAVIR CEMENT DEPOT,203,17.5
9121006718,MARUTI MACHINERY STORES,40,20
9121006719,HASMUKHLAL JETALAL SHAH,157,42
9121006721,HASANALI ISMAILJEE & SONS,114,48
9121006723,HARIOM CEMENT DEPOT,143,49
9121006724,HIRAL TRADERS,28,7.5
9121006725,HIMANSHU TRADING COMPANY,115,10
9121006730,HARIOM TRADING CO.,321,75.5
9121006738,HANDA TRADERS,47,3.5
9121006740,HEMANSHU TRADERS,420,66
9121006743,HUSANI TRADERS,80,42
9121006749,H M TRADING,70,15
9121006751,HARIOM SALES CORPORATION,263,61
9121006760,HARIKRISHNA TRADERS,215,31.5
9121006763,HARIKRISHNA SALES CORPORATION,93,30
9121006770,ISHWAR TRADERS,327,55
9121006771,IDEAL STORES,113,875.5
9121006778,JAYCEE AGENCIES,225,97.5
9121006779,J.P.ENTERPRISE,55,20
9121006784,JALARAM FABRICATION WORKS,170,68
9121006786,JAY JALARAM CORPORATION,263,12
9121006787,JANTA PAINTS & HARDWARE MART,205,48
9121006790,JAY VADVALA TRADERS,221,34.5
9121006792,JAY YOGESHWAR SALES CORPN.,51,12
9121006793,JALARAM TRADING,246,121
9121006805,JAYANT TRADING CORPORATION,50,5
9121006810,JAY JALARAM BAPA & SWAMINARA-,265,22
9121006814,JAYVIR CEMENT AGENCY,133,37
9121006825,JAYESH TRADERS,90,60
9121006826,JAY RANCHHOD HARDWARE STORE,64,12
9121006832,JAY TRADING,127,43.5
9121006833,JAGDAMBA TRADERS,115,52
9121006834,JAINAM ENTERPRISE,60,27
9121006837,JAYESH AGENCY,45,5
9121006839,JAY JALARAM MACHINARY & ELEC-,120,14
9121006841,JAY BHOLE DISTRIBUTORS,97,55.5
9121006845,JAY CHAMUNDA BUILDING MATERIAL,80,10
9121006850,RAJ TRADERS,65,27.5
9121006854,RAMANI TRADERS,70,39.25
9121006855,SHREE RAM TRADERS,310,91
9121006857,SWASTIK TRADERS,95,139
9121006861,SHRI MOTI TRADERS,103,12.5
9121006862,SHREE RAM TRADERS,140,20
9121006863,NAGDHARA VIBHAG VIVIDH KARYA-,240,25
9121006864,NAVSARI TALUKA SAHAKARI KHARID,80,17
9121006873,SHREE SAI TRADERS,350,66.5
9121006877,STAR TRADING CO.,35,10
9121006882,SHREE GANESH TRADERS,63,5
9121006886,SURYDIP TRADERS,130,38.5
9121006888,SHREE MAHALAXMI ENTERPRISE,80,8
9121006891,SHREE RAM CEMENT DEPOT,197,96
9121006896,SARASWATI TRADERS,40,11
9121006897,NEW LAXMINARAYAN TRADING CO.,90,28
9121006900,NARENDRAKUMAR SOMJIBHAI,160,24
9121006902,NATIONAL SALES CORPORATION,45,10
9121006905,NEW SAMIR CEMENT SUPPLIERS,108,39
9121006911,SHREE SHARDA VIJAY TIMBER MART,500,139.45
9121006912,SHRI MAHASHAKTI TRADERS,150,30
9121006916,ASHAPURA CONST.SUPPLIERS,250,84.5
9121006918,SUNDESHWARI CEMENT AGENCY,245,30
9121006924,SHREE OM TRADERS,300,48.5
9121006925,SIDDHESHWAR HARDWARE & CEMENT,48,30
9121006926,SHREE CHAMUNDA SAW MILL,335,130
9121006932,N.K. HARDWARE,28,16
9121006933,NARMADA TRADERS,129,46.2
9121006939,SHREE SHAKTI TRADERS,55,10
9121006946,PAL ENTERPRISE,200,127
9121006960,NARMADA CEMENT DEPOT,348,128
9121006976,NIMISHA SALES,128,17.5
9121006982,RAJ TRADERS,127,30.5
9121006986,RADHAKRISHNA BLDG MAT.SUPPLIER,135,44
9121006992,NAZZ TRADERS,9,10
9121006993,NEW SWASTIK CORPORATION,58,15
9121006996,MORI GAVABHAI GAMABHAI & SONS,278,180.25
9121007000,MAULANA TRADERS,184,15.75
9121007003,PATEL & CO.,75,3
9121007005,RAVI BROTHERS & CO,45,36
9121007006,RELIABLE HARDWARE MART,30,13
9121007014,SHREE KAMREJ TALUKA KHARID VECHAN,64,10
9121007016,K.B.DAVE & COMPANY,225,59
9121007017,KHEDUT HUT,230,62
9121007023,MARUTI SALES CORPORATION,25,7.5
9121007026,MAHENDRA TRADING CO.,205,55
9121007029,MAHESH LUBRICANTS,90,6
9121007033,MEHSANA STEEL STORES,40,10
9121007036,SHREE ASHAPURA TRADERS,280,145
9121007038,SHREE DILIPKUMAR JETHANAND,204,60
9121007039,SHRI AMBIKA SALES CORPORATION,73,13
9121007042,SHREE JAYBHAVANI CEMENT AGENCY,140,105
9121007045,SHREE SARDAR BARDOLI TALUKA KHEDUT,233,13
9121007046,SHAILESH A. PATEL,54,12
9121007047,SHREE AMBIKA TRADERS,1700,668
9121007057,KALAL CEMENT SUPPLIERS,588,319
9121007058,KANTILAL & CO.,55,13
9121007059,KISAN CEMENT AGENCY,235,87.5
9121007066,KASTURI TRADERS,120,13
9121007068,KISAN TRADERS,212,41
9121007071,MARUTI TRADING CO.,715,87
9121007075,MAYUR TRADERS,171,85.5
9121007089,SHREE ARIHANT TRADING CO.,132,38
9121007090,SULESHWARI CEMENT DEPOT,105,23
9121007095,SHREE RAM TRADERS,250,68
9121007096,SHRI OLPAD CHORYASI TALUKA,83,18
9121007099,SHREENATHJI BUILDING MATERIALS,105,24
9121007102,SHETH STEEL CORPORATION,150,65
9121007103,SAGAR TRADERS,200,65
9121007106,KAIDEJOHAR M. NALAWALA,511,161
9121007108,KANTIBHAI CHHIBUBHAI AHIR,150,25
9121007111,KALPATARU CERAMIC & BUILD.MATI,925,417
9121007118,KRISHNA TRADERS,80,20
9121007124,MAHALAXMI STEEL SUPPLIERS,150,60
9121007127,MIHIR TRADERS,825,289.5
9121007130,MEHSANA CEMENT DEPOT,83,22
9121007137,PANCHRATNA STEEL & CEMENT,240,71
9121007141,PATEL TRADING CO.,90,50
9121007143,PANKAJ TRADERS,384,112.5
9121007145,OMKAR TRADING CO.,40,30
9121007146,OMKRUPA CEMENT AGENCY,45,62
9121007147,OM TRADERS,25,15
9121007148,RAMJIBHAI GHOHABHAI,176,87
9121007149,RAMKRISHNA HARDWARE,200,65
9121007155,KARAN AGENCY,120,35
9121007158,KARAMBELE VIBHAG KHEDUTONI,120,30
9121007163,KISHAN TRADERS,350,107.25
9121007170,MARUTI CEMENT DEPOT,150,9.75
9121007176,MEHSANA STEEL CENTRE,356,199
9121007178,PADMAVATI TRADERS,35,5
9121007179,RAVI TRADERS,25,16.75
9121007184,R.C.SHAH & CO.,165,8
9121007187,RADHAKRISHANA TIMBER TRADING -,350,39
9121007190,SHRI RAMKRISHNA CEMENT AGENCY,522,253
9121007193,KAILASHPATI TRADERS,84,75
9121007200,KARNAVATI CORPORATION,50,6
9121007201,K.MAHENDRA KUMAR & CO.,40,30
9121007209,M M SALES,155,25
9121007213,MADHAV CORPORATION,125,39
9121007214,M.M.CEMENT DEPOT,39,15
9121007220,SHRI VISHWKARMA ST. & C. SUPP.,190,38
9121007224,SITARAM SANATORY,145,37
9121007228,SIDDNATH ENGINEERING WORKS,152,175.5
9121007229,SHREENATHJI IRON&STEEL TRADERS,90,41
9121007232,SAHAKAR CEMENT SALES DEPOT,167,77
9121007236,SARASWATI ENTERPRISE,218,123
9121007238,SHREE LAXMI TRADERS,150,39.75
9121007248,KANANI ENTERPRISE,48,8
9121007261,MAHALAXMI HARDWARE & ELECTRI-,253,25
9121007265,MAAKRUPA TRADERS,27,15
9121007270,SHREEJI TRADERS,39,15
9121007282,SAGAR CEMENT DEPOT,75,77
9121007290,KANANI SALES CORPORATION,133,34
9121007294,KHORAJIYA CEMENT DEPOT,65,13
9121007296,KISAN HARDWARE STORE,192,56
9121007297,KHODIYAR TRADERS,113,45
9121007303,MEET MARKETING (D),25,5
9121007306,MADNI CORPORATION,208,12
9121007309,MAURYA CEMENT AGENCY,188,12.5
9121007312,SHREE KRISHNA ENTERPRISE,225,56
9121007317,PALSANA VIBHAG DUDH ANE SHAK-,63,12
9121007319,RAKESH TRADING,36,28
9121007321,RANCHHODRAY ENTERPRISE,160,56
9121007323,LOKHANDWALA ENGG. WORKS,486,170
9121007327,MAA GAYATRI TRADERS,550,135
9121007334,MARUTI SALES,9,5
9121007335,MARUTI TRADERS,175,30
9121007345,SHREENATH SALES AGENCY,83,21.5
9121007351,LAKDA WALA CEMENT DISTRIBUTORS,54,13
9121007355,LAXMI TRADERS,300,127
9121007358,LAXMI TRADERS,135,24.5
9121007360,LOKHANDWALA ENTERPRISE,113,5
9121007361,LAXMI ENTERPRISE,143,25
9121007363,MARUTI HARDWARE & PAINTS,67,12.5
9121007364,MANGLA SONS,56,22.5
9121007374,SHREE LAXMINARAYAN CEMENT,304,196.5
9121007383,SHREE SWAMINARAYAN TRADERS,698,293
9121007384,Swaminarayan Cement Traders,100,55
9121007387,SHIVAM CEMENT SUPPLIERS,30,6
9121007393,LAXMI STEEL & FEBRICATORS,1000,297
9121007398,LAXMI SALES,152,90.25
9121007399,LAXMI TRADERS,173,117.5
9121007419,SHIVKRUPA TRADERS,120,20
9121007422,SHRI SEVNI VIBHAG KHETIPAK,153,33.5
9121007428,LAXMI TRADERS,250,107
9121007429,LANDMARK SANITARY,500,186
9121007431,NIMA CEMENT DEPOT,730,112
9121007432,NAGINDAS FULCHAND & CO,120,13
9121007438,PUSHPANJALI CEMENT DEPOT,300,113
9121007441,PATEL CEMENT DEPOT,324,152
9121007446,RAHUL CORPORATION,93,10
9121007448,RIDDHI SIDDHI CEMENT AGENCY,328,203.5
9121009214,LAXMI CORPORATION,148,42
9121009739,MAHAKALI KRUSHI KENDRA,136,48
9121009740,MOURYA MARBLE,544,52.5
9121009742,MALLIKA ENTERPRISE,130,10
9121009794,SHREE UMIYA TRADING CO.,70,67.5
9121009796,PAVAN TRADERS,137,65
9121009797,SHIV AGENCY,762,224
9121009799,SHREE MANDAVRAYJI SALES,525,442.75
9121009887,RACHANA SALES CORPORATION,70,15
9121009888,SHREE NARMADA TRADING CO.,26,10
9121009889,PATEL TIMBER CORPORATION,1100,278
9121009891,PRATAP ENTERPRISE,63,15
9121009892,S.H.PIPEVALA,186,77.5
9121009920,SHREE GAYATRI TRADERS,93,26
9121009922,SHREE HARIKRISHNA TRADING CO.,150,14
9121009949,GURUKRUPA TRADING CO.,150,35
9121010056,AMBICA TRADING CO.,80,29.5
9121010098,BHATIA AGENCIES,410,217.5
9121010146,BHAGYODAY STEEL,400,131
9121010148,BHADRIK TRADERS,61,5
9121010185,GUJARAT CEMENT AGENCY,161,23
9121010213,GHANSHYAM TRADERS (SABARMATI),78,10
9121011647,AMRUT CEMENT,56,7.5
9121011649,AMINBHAI APABHAI,95,76
9121011652,BHARAT AGENCY,37,7.5
9121011665,NAROLA SALES AGENCY,126,21
9121011668,MAHENDRA KUMAR NANJIBHAI,87,20
9121011672,SHREE CHAMUNDA SALES AGENCY,189,94
9121011678,PATEL HARDWARE MART,81,17.5
9121011680,SUNNY TRADERS,31,22.5
9121011693,NILKANTH CEMENT DEPOT,230,46
9121011695,SAURASHTRA AGRO CENTRE,185,36
9121011839,ARIHANT STEEL AND SANITATION,673,525.5
9121011840,ARIHANT SALES,462,31
9121011841,BHAVESH STEEL,1094,388.5
9121011952,MILAN TRADERS,100,30
9121011954,UMA TRADERS,183,39
9121012158,AMIT TRADERS,149,15.1
9121012191,M/S. AVAKAR ENTERPRISE,60,8
9121012214,PARTH TRADING CO.,110,42
9121012226,LAXMI TRDING CO.,60,25
9121012240,UDAY STEEL BUILD,50,16
9121012277,NEW PARIKH STORES,313,88
9121012316,MAA MARKETING,112,73.5
9121012336,MADHAV STEEL AND CEMENT,1193,288
9121012367,SHRI BAL KRUSHNA AGENCY,323,83
9121012389,CHANDRESH TRADING CO.,120,32.5
9121012467,SATYANARYAN TRADERS,345,95.5
9121012507,MANGALMURTI TRADERS,230,43.5
9121012555,MARUTI TRADING,100,30
9121012580,ROYAL SALES AGENCIES,380,72
9121012616,SHREE CHAMUNDA TRADING CO.,77,6
9121012634,HARSIDDH BUILDING MATERIALS,55,5
9121012656,VIKAS SALES CORPORATION,135,35
9121012681,LAXMI TRADERS,28,5
9121012730,JAY JALARAM HARDWARE STORE,60,15
9121012753,SWETA MARBLE & BUILDING,15,12
9121012764,JAY SHIV SHAKTI TRADERS,50,10
9121012781,JAYESH TRADING CO.,89,36
9121012789,MARUTI ELECTRIC AND PLUMBING,100,35
9121012881,SHREE CHAMUNDA STEELS,115,37.5
9121012962,PATEL SALES AGENCY,195,86
9121012967,SARDAR TRADING CO.,125,29
9121012986,MADHAV TRADERS,120,36.5
9121012991,CHAMUNDA HARDWARE,45,26.5
9121012995,GURUKRUPA TRADERS,25,3
9121013007,JAY TRADERS,450,134.75
9121013011,SHIVAM TRADERS,140,105.5
9121013073,SHAH KISHORKANT CHHOTALAL,94,47
9121013078,GOKULESH CEMENT,225,85
9121013084,KALAL TRADERS,14,22.5
9121013093,SANVI SALES,150,41.1
9121013111,SHIV SAI TRADERS,170,39
9121013158,PRUTHVI STEEL SUPPLIER,1500,538
9121013255,KASHYAP ENTERPRISE,640,302.75
9121013287,KAILASH BUILDING MATERIALS SUPPLIER,150,45.5
9121013305,KURESH TRADERS,27,16.5
9121013325,AMBICA STEEL & ENGG. WORKS,490,71
9121013386,GHANSHYAM TRADING CO.,68,2
9121013402,GAYATRI TRADING CO.,139,33.5
9121013429,MAHALAXMI TRADERS,45,12
9121013507,CHETAN R PATEL,150,75
9121013513,HARIKRUSHNA TRADERS,60,40
9121013514,JAY UMIYA TRADERS,50,5
9121013553,OMKAR STEEL,213,22.5
9121013605,SHRI NILKANTH STEEL CORPORATION,181,10
9121013655,MAHESANA STEELS,183,39
9121013714,NARSINH TRADERS,135,65.5
9121013752,SHRI LALSAI TRADERS,60,17
9121013754,GAYATRI TRADING CO.,90,29
9121013800,BHAGWATI STEEL SUPPLIERS,368,13
9121013801,SHAKTI MATERIALS,70,5
9121013813,KAILASH STEEL CORPORATION,173,28
9121013815,AMBICA BUILDING MATERIAL SUPPLIERS,40,5.5
9121013832,CHAMUNDA SALES,76,10
9121013837,JAY BRAHMANI H / W,115,31
9121013885,ACM STEEL SUPPLIERS,70,36
9121013886,KHODIAR ENTERPRISE,215,67
9121013990,KHAMBHAT STEEL & CEMENT,2000,355.5
9121013995,KHODIYAR TRADERS,89,10
9121014066,KRUPALU ENTERPRISE,301,178
9121014067,NAJMI MACHINERY STORES,211,95
9121014068,M.K ENTERPRISE,84,15
9121014072,MAHASHAKTI TRADERS,65,29
9121014115,AGRI BUSSINESS CENTRE,398,20
9121014245,SHREE NAVJIVAN TIMBER TRADERS,120,25
9121014298,DEVAM CORPORATION,420,53.5
9121014303,AMBIKA TRADERS,51,10
9121014357,MARUTI STEELS,400,57
9121014361,JAY BHAVANI TRADERS,54,13
9121014363,GAURANG B DOSHI,326,112.5
9121014385,HAPPY TRADING COMPANY,137,39
9121014387,SHREE VASUDEV HARDWARE,160,31
9121014423,SHREE AMBIKA HARDWARE AND,123,36
9121014426,MADHAV TRADERS,40,10
9121014478,REVABA CEMENT AGENCY,54,88
9121014643,SHREE KRIPAL TRADING CO.,150,53
9121014676,GIRIRAJ CEMENT SALES,140,41.5
